id,school_id,constituent_id,degree_type,school_or_unit,major,class_year,start_year,record_source
95,1,68,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,,1970,1966,crm_import
96,1,606,Certificate,College of Arts and Sciences,Political Science,2008,2004,crm_import
97,1,17008,M.B.A. Master of Business Administration,College of Arts and Sciences,History,1964,1960,crm_import
98,1,8785,Ph.D. Doctor of Philosophy,College of Arts and Sciences,,1999,1995,crm_import
99,1,18126,M.S. Master of Science,College of Arts and Sciences,Economics,1978,1974,crm_import
100,1,11376,M.B.A. Master of Business Administration,College of Arts and Sciences,,1962,1958,crm_import
101,1,8048,B.S. Bachelor of Science,College of Arts and Sciences,Economics,1992,1988,online
102,1,8048,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Biology,1995,1993,online
103,1,8135,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Political Science,2015,2011,advancement_entry
104,1,17597,Certificate,College of Arts and Sciences,English,2022,2018,crm_import
105,1,13559,M.B.A. Master of Business Administration,College of Arts and Sciences,English,1955,1951,crm_import
106,1,14145,A.B. Bachelor of Arts,School of Business,Business Administration,2003,1999,crm_import
107,1,9716,Certificate,School of Engineering,Mechanical Engineering,1998,1994,crm_import
108,1,19171,J.D. Doctor of Jurisprudence,College of Arts and Sciences,English,1995,1991,crm_import
109,1,17809,A.B. Bachelor of Arts,College of Arts and Sciences,English,2015,2011,crm_import
110,1,19795,B.B.A. Bachelor of Business Administration,School of Health Sciences,Public Health,2011,2007,online
111,1,8216,B.B.A. Bachelor of Business Administration,School of Business,Business Administration,1999,1995,online
112,1,14658,M.A. Master of Arts,College of Arts and Sciences,Biology,2000,1996,crm_import
113,1,14658,J.D. Doctor of Jurisprudence,School of Engineering,Mechanical Engineering,2002,2000,crm_import
114,1,6806,B.B.A. Bachelor of Business Administration,School of Education,Education,2001,1997,crm_import
115,1,17957,J.D. Doctor of Jurisprudence,School of Engineering,Mechanical Engineering,2016,2012,crm_import
116,1,12550,J.D. Doctor of Jurisprudence,School of Education,Education,1981,1977,crm_import
117,1,15477,M.S. Master of Science,College of Arts and Sciences,Political Science,1983,1979,crm_import
118,1,17026,B.S. Bachelor of Science,College of Arts and Sciences,English,2019,2015,crm_import
119,1,17026,M.A. Master of Arts,College of Arts and Sciences,Political Science,2022,2020,crm_import
120,1,7425,Ph.D. Doctor of Philosophy,School of Health Sciences,Public Health,1952,1948,online
121,1,10124,Ph.D. Doctor of Philosophy,School of Engineering,Computer Science,1974,1970,online
122,1,10895,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,History,1951,1947,advancement_entry
123,1,5461,B.S. Bachelor of Science,School of Engineering,Mechanical Engineering,2011,2007,crm_import
124,1,16609,B.A. Bachelor of Arts,College of Arts and Sciences,Political Science,2008,2004,crm_import
125,1,2196,M.A. Master of Arts,School of Education,Education,1996,1992,crm_import
126,1,6861,A.B. Bachelor of Arts,College of Arts and Sciences,History,2000,1996,crm_import
127,1,11246,M.B.A. Master of Business Administration,College of Arts and Sciences,,1981,1977,crm_import
128,1,13557,B.A. Bachelor of Arts,School of Education,Education,1972,1968,online
129,1,13557,M.B.A. Master of Business Administration,School of Engineering,Computer Science,1979,1977,online
130,1,983,Certificate,School of Engineering,Mechanical Engineering,2015,2011,online
131,1,1760,B.A. Bachelor of Arts,School of Health Sciences,Public Health,1992,1988,advancement_entry
132,1,3466,B.S. Bachelor of Science,School of Engineering,,2026,2022,crm_import
133,1,18203,B.S. Bachelor of Science,College of Arts and Sciences,English,2026,2022,crm_import
134,1,18846,M.S. Master of Science,College of Arts and Sciences,,2015,2011,crm_import
135,1,6011,B.A. Bachelor of Arts,College of Arts and Sciences,English,2009,2005,crm_import
136,1,6241,Certificate,School of Engineering,Mechanical Engineering,2001,1997,crm_import
137,1,720,A.B. Bachelor of Arts,School of Health Sciences,Public Health,1972,1968,online
138,1,720,A.B. Bachelor of Arts,School of Education,Education,1974,1972,online
139,1,15158,M.A. Master of Arts,College of Arts and Sciences,Biology,,1987,online
140,1,14007,M.B.A. Master of Business Administration,College of Arts and Sciences,,2017,2013,advancement_entry
141,1,2152,B.B.A. Bachelor of Business Administration,School of Education,Education,1973,1969,crm_import
142,1,7677,B.B.A. Bachelor of Business Administration,School of Engineering,Computer Science,1980,1976,crm_import
143,1,15431,M.B.A. Master of Business Administration,School of Engineering,Mechanical Engineering,1994,1990,crm_import
144,1,8163,M.B.A. Master of Business Administration,College of Arts and Sciences,Political Science,1981,1977,crm_import
145,1,14372,J.D. Doctor of Jurisprudence,College of Arts and Sciences,English,2000,1996,crm_import
146,1,4933,M.S. Master of Science,College of Arts and Sciences,History,2018,2014,crm_import
147,1,4292,Ph.D. Doctor of Philosophy,School of Education,Education,2000,1996,crm_import
148,1,9758,Ph.D. Doctor of Philosophy,School of Health Sciences,Public Health,2019,2015,online
149,1,5576,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,2010,2006,online
150,1,5576,J.D. Doctor of Jurisprudence,School of Business,Business Administration,2016,2014,online
151,1,16204,M.A. Master of Arts,School of Health Sciences,Public Health,2016,2012,advancement_entry
152,1,6034,M.S. Master of Science,College of Arts and Sciences,English,2010,2006,crm_import
153,1,13071,,School of Business,Business Administration,2006,2002,crm_import
154,1,19940,M.S. Master of Science,School of Engineering,Computer Science,1992,1988,crm_import
155,1,3927,Ph.D. Doctor of Philosophy,School of Education,Education,2022,2018,crm_import
156,1,5355,A.B. Bachelor of Arts,College of Arts and Sciences,History,1974,1970,crm_import
157,1,15629,B.A. Bachelor of Arts,College of Arts and Sciences,Political Science,1980,1976,crm_import
158,1,3220,M.B.A. Master of Business Administration,College of Arts and Sciences,Political Science,,1999,crm_import
159,1,3967,B.A. Bachelor of Arts,School of Education,Education,1993,1989,online
160,1,3586,Ph.D. Doctor of Philosophy,College of Arts and Sciences,History,2012,2008,online
161,1,5452,M.B.A. Master of Business Administration,School of Engineering,Mechanical Engineering,2017,2013,advancement_entry
162,1,6829,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Economics,1974,1970,crm_import
163,1,19620,A.B. Bachelor of Arts,College of Arts and Sciences,History,1989,1985,crm_import
164,1,19620,J.D. Doctor of Jurisprudence,School of Business,Business Administration,1995,1993,crm_import
165,1,18451,Certificate,School of Business,,1969,1965,crm_import
166,1,4925,A.B. Bachelor of Arts,College of Arts and Sciences,,2024,2020,crm_import
167,1,2746,B.S. Bachelor of Science,College of Arts and Sciences,Political Science,1962,1958,crm_import
168,1,19216,J.D. Doctor of Jurisprudence,School of Engineering,Computer Science,2006,2002,crm_import
169,1,16221,M.A. Master of Arts,School of Engineering,Computer Science,2007,2003,crm_import
170,1,16221,M.A. Master of Arts,School of Engineering,Computer Science,2011,2009,crm_import
171,1,6076,Certificate,College of Arts and Sciences,History,2011,2007,online
172,1,12294,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Economics,1969,1965,online
173,1,17729,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,,1991,1987,advancement_entry
174,1,3005,M.B.A. Master of Business Administration,College of Arts and Sciences,Biology,2012,2008,crm_import
175,1,6179,M.S. Master of Science,School of Engineering,Mechanical Engineering,1992,1988,crm_import
176,1,5870,M.S. Master of Science,School of Engineering,Computer Science,1967,1963,crm_import
177,1,10408,,College of Arts and Sciences,,1986,1982,crm_import
178,1,9625,B.A. Bachelor of Arts,College of Arts and Sciences,,2012,2008,crm_import
179,1,16257,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,History,2010,2006,crm_import
180,1,15193,A.B. Bachelor of Arts,School of Education,,1981,1977,crm_import
181,1,6525,B.S. Bachelor of Science,College of Arts and Sciences,Economics,2005,2001,online
182,1,19682,M.A. Master of Arts,School of Engineering,,2016,2012,online
183,1,19682,Certificate,School of Business,Business Administration,2020,2018,online
184,1,12490,A.B. Bachelor of Arts,College of Arts and Sciences,Biology,2016,2012,advancement_entry
185,1,790,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Political Science,1997,1993,crm_import
186,1,9319,B.S. Bachelor of Science,School of Education,Education,1995,1991,crm_import
187,1,9319,A.B. Bachelor of Arts,College of Arts and Sciences,Economics,1997,1995,crm_import
188,1,1079,,School of Engineering,Computer Science,1990,1986,crm_import
189,1,9284,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,History,2011,2007,crm_import
190,1,8191,M.S. Master of Science,School of Engineering,Mechanical Engineering,,2010,crm_import
191,1,15879,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Economics,1983,1979,crm_import
192,1,13326,A.B. Bachelor of Arts,School of Health Sciences,Public Health,2015,2011,crm_import
193,1,15689,M.A. Master of Arts,School of Education,Education,1988,1984,online
194,1,15689,J.D. Doctor of Jurisprudence,School of Education,Education,1990,1988,online
195,1,9888,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Political Science,,1967,advancement_entry
196,1,10379,M.S. Master of Science,College of Arts and Sciences,Political Science,2007,2003,crm_import
197,1,14512,B.S. Bachelor of Science,College of Arts and Sciences,Political Science,1950,1946,crm_import
198,1,11248,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Biology,1960,1956,crm_import
199,1,11248,M.S. Master of Science,School of Business,Business Administration,1965,1963,crm_import
200,1,16800,B.S. Bachelor of Science,College of Arts and Sciences,,1999,1995,online
201,1,7419,M.B.A. Master of Business Administration,College of Arts and Sciences,History,1996,1992,advancement_entry
202,1,7419,M.A. Master of Arts,School of Health Sciences,Public Health,2001,1999,advancement_entry
203,1,9590,A.B. Bachelor of Arts,College of Arts and Sciences,Political Science,2004,2000,crm_import
204,1,8732,A.B. Bachelor of Arts,School of Engineering,Mechanical Engineering,1981,1977,crm_import
205,1,8732,M.A. Master of Arts,School of Education,Education,1987,1985,crm_import
206,1,11407,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,English,2019,2015,crm_import
207,1,11407,Certificate,College of Arts and Sciences,Biology,2025,2023,crm_import
208,1,19937,B.A. Bachelor of Arts,School of Business,Business Administration,1992,1988,crm_import
209,1,11904,,College of Arts and Sciences,Political Science,1961,1957,crm_import
210,1,7232,A.B. Bachelor of Arts,School of Business,Business Administration,2007,2003,crm_import
211,1,17312,B.A. Bachelor of Arts,College of Arts and Sciences,Political Science,1983,1979,online
212,1,12883,M.A. Master of Arts,School of Business,Business Administration,1987,1983,online
213,1,10172,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Political Science,1959,1955,crm_import
214,1,14202,A.B. Bachelor of Arts,College of Arts and Sciences,English,1976,1972,crm_import
215,1,9191,M.B.A. Master of Business Administration,College of Arts and Sciences,English,2010,2006,crm_import
216,1,14474,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Biology,1976,1972,crm_import
217,1,14474,M.A. Master of Arts,School of Engineering,Computer Science,1978,1976,crm_import
218,1,6915,J.D. Doctor of Jurisprudence,School of Business,Business Administration,2010,2006,crm_import
219,1,1713,M.B.A. Master of Business Administration,School of Engineering,Computer Science,2010,2006,crm_import
220,1,16146,,School of Health Sciences,Public Health,2025,2021,crm_import
221,1,16610,M.S. Master of Science,School of Business,Business Administration,1994,1990,online
222,1,16610,M.B.A. Master of Business Administration,School of Engineering,Computer Science,1998,1996,online
223,1,17160,M.S. Master of Science,College of Arts and Sciences,,2004,2000,online
224,1,3737,B.A. Bachelor of Arts,School of Engineering,Mechanical Engineering,1993,1989,advancement_entry
225,1,5263,B.A. Bachelor of Arts,College of Arts and Sciences,English,1987,1983,crm_import
226,1,14146,M.B.A. Master of Business Administration,School of Business,Business Administration,2016,2012,crm_import
227,1,14146,M.B.A. Master of Business Administration,School of Engineering,Computer Science,2018,2016,crm_import
228,1,8491,J.D. Doctor of Jurisprudence,School of Business,Business Administration,1999,1995,crm_import
229,1,11229,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,,2000,1996,crm_import
230,1,7308,M.A. Master of Arts,School of Business,Business Administration,2018,2014,crm_import
231,1,7279,M.A. Master of Arts,College of Arts and Sciences,English,2018,2014,crm_import
232,1,18280,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Economics,1953,1949,crm_import
233,1,12832,Certificate,College of Arts and Sciences,History,1968,1964,online
234,1,9754,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Biology,2002,1998,advancement_entry
235,1,12800,J.D. Doctor of Jurisprudence,School of Health Sciences,Public Health,1999,1995,crm_import
236,1,4506,J.D. Doctor of Jurisprudence,School of Health Sciences,Public Health,1979,1975,crm_import
237,1,4506,M.A. Master of Arts,School of Health Sciences,Public Health,1982,1980,crm_import
238,1,11660,M.B.A. Master of Business Administration,School of Business,Business Administration,2018,2014,crm_import
239,1,8241,Ph.D. Doctor of Philosophy,College of Arts and Sciences,History,1978,1974,crm_import
240,1,14012,B.S. Bachelor of Science,School of Engineering,Mechanical Engineering,1961,1957,crm_import
241,1,8709,M.B.A. Master of Business Administration,College of Arts and Sciences,Economics,1976,1972,crm_import
242,1,8709,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,1978,1976,crm_import
243,1,12060,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Biology,2001,1997,online
244,1,1533,Ph.D. Doctor of Philosophy,College of Arts and Sciences,,2009,2005,online
245,1,1533,M.B.A. Master of Business Administration,College of Arts and Sciences,Political Science,2011,2009,online
246,1,15623,J.D. Doctor of Jurisprudence,College of Arts and Sciences,,2008,2004,advancement_entry
247,1,4118,,College of Arts and Sciences,English,2026,2022,crm_import
248,1,3362,M.A. Master of Arts,College of Arts and Sciences,Political Science,2002,1998,crm_import
249,1,16119,,College of Arts and Sciences,English,1966,1962,crm_import
250,1,7739,M.S. Master of Science,College of Arts and Sciences,Economics,1989,1985,crm_import
251,1,7368,M.B.A. Master of Business Administration,School of Health Sciences,Public Health,2003,1999,crm_import
252,1,8736,,School of Business,,1988,1984,online
253,1,18834,Certificate,School of Health Sciences,Public Health,2011,2007,online
254,1,1759,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,,1991,advancement_entry
255,1,3078,B.B.A. Bachelor of Business Administration,School of Education,Education,2003,1999,crm_import
256,1,9955,M.S. Master of Science,School of Engineering,Computer Science,1987,1983,crm_import
257,1,9540,Certificate,College of Arts and Sciences,Biology,,2010,crm_import
258,1,13553,B.A. Bachelor of Arts,School of Engineering,Computer Science,2011,2007,crm_import
259,1,10395,B.S. Bachelor of Science,School of Engineering,Mechanical Engineering,1997,1993,crm_import
260,1,10395,M.B.A. Master of Business Administration,College of Arts and Sciences,Biology,2004,2002,crm_import
261,1,354,J.D. Doctor of Jurisprudence,College of Arts and Sciences,History,2002,1998,crm_import
262,1,17600,M.B.A. Master of Business Administration,College of Arts and Sciences,English,2025,2021,crm_import
263,1,7985,A.B. Bachelor of Arts,School of Business,Business Administration,1998,1994,online
264,1,16775,M.B.A. Master of Business Administration,School of Education,Education,2014,2010,online
265,1,16775,Ph.D. Doctor of Philosophy,School of Engineering,Computer Science,2020,2018,online
266,1,15887,B.S. Bachelor of Science,College of Arts and Sciences,History,2026,2022,advancement_entry
267,1,478,Ph.D. Doctor of Philosophy,School of Education,Education,2014,2010,crm_import
268,1,6016,B.A. Bachelor of Arts,College of Arts and Sciences,,1951,1947,crm_import
269,1,8617,A.B. Bachelor of Arts,College of Arts and Sciences,English,2025,2021,crm_import
270,1,17181,M.S. Master of Science,School of Education,Education,2005,2001,crm_import
271,1,4813,Certificate,College of Arts and Sciences,History,1995,1991,crm_import
272,1,14248,B.B.A. Bachelor of Business Administration,School of Engineering,Computer Science,1996,1992,crm_import
273,1,239,B.A. Bachelor of Arts,College of Arts and Sciences,Biology,2015,2011,online
274,1,239,M.A. Master of Arts,College of Arts and Sciences,Economics,2019,2017,online
275,1,10752,B.S. Bachelor of Science,College of Arts and Sciences,English,2019,2015,online
276,1,4711,M.S. Master of Science,College of Arts and Sciences,History,2021,2017,advancement_entry
277,1,2664,,School of Business,Business Administration,2012,2008,crm_import
278,1,575,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,English,2011,2007,crm_import
279,1,13901,Certificate,School of Health Sciences,Public Health,1999,1995,crm_import
280,1,12169,B.A. Bachelor of Arts,School of Business,Business Administration,1974,1970,crm_import
281,1,11909,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,History,2007,2003,crm_import
282,1,18443,Ph.D. Doctor of Philosophy,School of Engineering,Computer Science,1962,1958,crm_import
283,1,15833,Certificate,College of Arts and Sciences,Political Science,1968,1964,online
284,1,822,B.A. Bachelor of Arts,College of Arts and Sciences,Economics,2022,2018,advancement_entry
285,1,10125,A.B. Bachelor of Arts,School of Business,Business Administration,1963,1959,crm_import
286,1,17865,Certificate,College of Arts and Sciences,English,2018,2014,crm_import
287,1,7058,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,English,1996,1992,crm_import
288,1,5098,M.S. Master of Science,School of Business,Business Administration,1971,1967,crm_import
289,1,12296,B.S. Bachelor of Science,College of Arts and Sciences,Economics,,2008,crm_import
290,1,2925,B.A. Bachelor of Arts,College of Arts and Sciences,Economics,1999,1995,crm_import
291,1,2925,A.B. Bachelor of Arts,College of Arts and Sciences,Biology,2004,2002,crm_import
292,1,2207,Ph.D. Doctor of Philosophy,School of Education,,1987,1983,online
293,1,12739,B.A. Bachelor of Arts,School of Health Sciences,Public Health,1993,1989,online
294,1,12739,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Biology,2000,1998,online
295,1,16586,Ph.D. Doctor of Philosophy,School of Health Sciences,Public Health,2000,1996,advancement_entry
296,1,2742,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Biology,1990,1986,crm_import
297,1,2742,Certificate,College of Arts and Sciences,Biology,1996,1994,crm_import
298,1,19671,Certificate,College of Arts and Sciences,Political Science,2012,2008,crm_import
299,1,3909,B.A. Bachelor of Arts,School of Business,Business Administration,1993,1989,crm_import
300,1,5477,A.B. Bachelor of Arts,School of Education,Education,1976,1972,crm_import
301,1,6150,M.A. Master of Arts,School of Education,Education,2003,1999,crm_import
302,1,2654,,College of Arts and Sciences,Political Science,1998,1994,crm_import
303,1,1054,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,1976,1972,crm_import
304,1,11209,A.B. Bachelor of Arts,School of Education,Education,1990,1986,online
305,1,14842,M.S. Master of Science,School of Education,Education,1986,1982,online
306,1,14842,M.B.A. Master of Business Administration,College of Arts and Sciences,English,1993,1991,online
307,1,14464,Ph.D. Doctor of Philosophy,School of Engineering,Computer Science,1973,1969,advancement_entry
308,1,14464,M.A. Master of Arts,School of Health Sciences,Public Health,1976,1974,advancement_entry
309,1,12000,B.A. Bachelor of Arts,College of Arts and Sciences,History,1974,1970,crm_import
310,1,19528,M.S. Master of Science,College of Arts and Sciences,Biology,1993,1989,crm_import
311,1,15637,B.A. Bachelor of Arts,College of Arts and Sciences,English,1961,1957,crm_import
312,1,9914,M.S. Master of Science,College of Arts and Sciences,Political Science,2013,2009,crm_import
313,1,9914,M.B.A. Master of Business Administration,College of Arts and Sciences,Political Science,2016,2014,crm_import
314,1,3890,Certificate,School of Education,Education,2022,2018,crm_import
315,1,3890,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Economics,2026,2024,crm_import
316,1,3085,M.A. Master of Arts,College of Arts and Sciences,Economics,1979,1975,crm_import
317,1,3085,Certificate,College of Arts and Sciences,Economics,1986,1984,crm_import
318,1,7553,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Biology,1971,1967,crm_import
319,1,19179,Certificate,School of Engineering,Mechanical Engineering,2026,2022,online
