id,school_id,gift_id,fund_id,amount,raw_fund_name
108,1,104,2,500.00,Annual Fund
109,1,105,1,50.00,WHEREVER NEEDED MOST
110,1,106,1,250.00,WHEREVER NEEDED MOST
111,1,107,2,25.00,Annual Fund
112,1,108,18,25.00,Alumni Programs Fund
113,1,109,17,250.00,Parent and Family Fund
114,1,110,2,37.50,ANNUAL FD.
115,1,110,7,12.50,Engineering Innovation Fund
116,1,111,1,50.00,Wherever Needed Most
117,1,112,11,50.00,Arts and Performance Fund
118,1,113,20,100.00,Business School Fund (legacy)
119,1,114,1,15.00,Wherever Needed Most
120,1,115,1,500.00,Wherever Needed Most
121,1,116,5,56.25,Student Emergency Fund
122,1,116,11,18.75,ARTS AND PERFORMANCE FD.
123,1,117,15,25.00,Community Service Fund
124,1,118,5,100.00,Student Emergency Fund
125,1,119,5,75.00,Student Emergency Fund
126,1,120,1,1000.00,Wherever Needed Most
127,1,121,2,75.00,Annual Fund
128,1,122,20,25.00,Business School Fund
129,1,123,2,15.00,Annual Fund
130,1,124,1,50.00,Wherever Needed Most
131,1,125,3,25.00,General Scholarship Fund
132,1,126,20,100.00,Business School Fund
133,1,127,2,100.00,Annual Fund
134,1,128,1,60.00,Wherever Needed Most
135,1,128,19,40.00,Campus Renewal Fund
136,1,129,1,250.00,WHEREVER NEEDED MOST
137,1,130,1,25.00,Wherever Needed Most
138,1,131,20,25.00,Business School Fund (legacy)
139,1,132,11,103.20,Arts and Performance Fund
140,1,133,2,50.00,ANNUAL FD.
141,1,134,15,75.00,Community Service Fund
142,1,135,2,25.00,Annual Fund
143,1,136,11,250.00,Arts and Performance Fund
144,1,137,1,5000.00,Wherever Needed Most
145,1,138,17,100.00,Parent and Family Fund
146,1,139,17,50.00,Parent and Family Fund
147,1,140,18,100.00,Alumni Programs Fund
148,1,141,17,50.00,PARENT AND FAMILY FD.
149,1,142,17,500.00,Parent and Family Fund
150,1,142,15,500.00,Community Service Fund
151,1,143,11,250.00,Arts and Performance Fund
152,1,144,1,500.00,Wherever Needed Most
153,1,145,8,15.00,Computer Science Fund
154,1,146,7,100.00,Engineering Innovation Fund
155,1,147,7,25.00,Engineering Innovation Fund
156,1,148,8,100.00,Computer Science Fund
157,1,149,3,500.00,General Scholarship Fund (legacy)
158,1,150,5,75.00,Student Emergency Fund
159,1,151,15,77.40,Community Service Fund
160,1,152,15,250.00,COMMUNITY SERVICE FD.
161,1,153,15,37.50,Community Service Fund
162,1,153,2,12.50,Annual Fund
163,1,154,15,100.00,Community Service Fund (legacy)
164,1,155,5,50.00,Student Emergency Fund
165,1,156,15,2500.00,Community Service Fund
166,1,157,5,1032.00,Student Emergency Fund
167,1,158,5,10000.00,Student Emergency Fund
168,1,159,5,75.00,Student Emergency Fund
169,1,160,15,25.00,Community Service Fund
170,1,161,5,500.00,Student Emergency Fund
171,1,162,15,25.00,COMMUNITY SERVICE FD.
172,1,163,15,15.00,Community Service Fund
173,1,164,5,25.00,Student Emergency Fund
174,1,165,1,50.00,WHEREVER NEEDED MOST
175,1,166,11,500.00,Arts and Performance Fund
176,1,167,1,75.00,Wherever Needed Most
177,1,167,19,25.00,Campus Renewal Fund
178,1,168,20,50.00,BUSINESS SCHOOL FD.
179,1,169,1,100.00,Wherever Needed Most
180,1,170,4,100.00,First-Generation Student Fund (legacy)
181,1,171,2,100.00,Annual Fund
182,1,172,5,100.00,Student Emergency Fund
183,1,173,2,100.00,ANNUAL FD.
184,1,174,9,25.00,Humanities Fund
185,1,175,2,250.00,ANNUAL FD.
186,1,176,13,500.00,Women's Soccer Fund
187,1,177,17,5000.00,Parent and Family Fund
188,1,178,3,77.40,General Scholarship Fund
189,1,179,2,100.00,Annual Fund
190,1,180,20,100.00,Business School Fund
191,1,181,11,100.00,ARTS AND PERFORMANCE FD.
192,1,182,11,500.00,Arts and Performance Fund
193,1,183,1,5000.00,Wherever Needed Most
194,1,184,4,75.00,FIRST-GENERATION STUDENT FD.
195,1,185,1,1000.00,Wherever Needed Most
196,1,186,17,75.00,Parent and Family Fund
197,1,187,5,50.00,STUDENT EMERGENCY FD.
198,1,188,4,50.00,First-Generation Student Fund
199,1,189,12,75.00,Athletics Excellence Fund
200,1,189,9,25.00,Humanities Fund
201,1,190,13,25.00,Women's Soccer Fund
202,1,191,13,50.00,Women's Soccer Fund
203,1,192,12,25.00,ATHLETICS EXCELLENCE FD.
204,1,193,13,75.00,Women's Soccer Fund
205,1,195,12,25.00,Athletics Excellence Fund
206,1,196,13,250.00,Women's Soccer Fund
207,1,197,13,50.00,Women's Soccer Fund
208,1,198,13,50.00,Women's Soccer Fund
209,1,199,13,25.00,Women's Soccer Fund
210,1,200,13,50.00,Women's Soccer Fund
211,1,201,12,25.00,Athletics Excellence Fund (legacy)
212,1,202,13,100.00,Women's Soccer Fund
213,1,203,2,250.00,Annual Fund (legacy)
214,1,204,6,250.00,LIBRARY AND LEARNING COMMONS
215,1,205,18,100.00,Alumni Programs Fund
216,1,206,4,25.00,First-Generation Student Fund
217,1,207,2,100.00,Annual Fund
218,1,208,1,50.00,Wherever Needed Most (legacy)
219,1,209,2,100.00,Annual Fund
220,1,210,1,100.00,WHEREVER NEEDED MOST
221,1,211,9,75.00,HUMANITIES FD.
222,1,212,3,100.00,General Scholarship Fund
223,1,213,1,30.00,Wherever Needed Most
224,1,213,6,20.00,Library and Learning Commons
225,1,214,1,100.00,WHEREVER NEEDED MOST
226,1,215,13,100.00,Women's Soccer Fund
227,1,216,17,50.00,Parent and Family Fund
228,1,217,22,50.00,Class of 2001 Scholarship
229,1,218,22,50.00,Class of 2001 Scholarship
230,1,219,22,45.00,Class of 2001 Scholarship
231,1,219,10,30.00,Faculty Research Fund
232,1,220,22,250.00,CLASS OF 2001 SCHOLARSHIP
233,1,221,22,500.00,Class of 2001 Scholarship
234,1,222,22,1000.00,Class of 2001 Scholarship
235,1,223,22,15.00,CLASS OF 2001 SCHOLARSHIP
236,1,224,22,50.00,Class of 2001 Scholarship
237,1,225,17,100.00,Parent and Family Fund
238,1,226,17,25.00,Parent and Family Fund
239,1,227,17,50.00,Parent and Family Fund
240,1,228,17,1000.00,Parent and Family Fund
241,1,229,12,100.00,ATHLETICS EXCELLENCE FD.
242,1,230,12,100.00,Athletics Excellence Fund
243,1,231,13,50.00,Women's Soccer Fund (legacy)
244,1,232,12,50.00,Athletics Excellence Fund
245,1,233,13,250.00,Women's Soccer Fund
246,1,234,12,50.00,Athletics Excellence Fund
247,1,235,13,50.00,Women's Soccer Fund
248,1,236,13,75.00,Women's Soccer Fund
249,1,237,13,150.00,Women's Soccer Fund
250,1,237,1,100.00,Wherever Needed Most
251,1,238,12,50.00,Athletics Excellence Fund
252,1,239,13,50.00,Women's Soccer Fund
253,1,240,12,50.00,Athletics Excellence Fund
254,1,241,13,75.00,Women's Soccer Fund (legacy)
255,1,242,12,75.00,Athletics Excellence Fund
256,1,242,6,25.00,Library and Learning Commons
257,1,243,13,50.00,WOMEN'S SOCCER FD.
258,1,244,13,100.00,Women's Soccer Fund (legacy)
259,1,245,13,125.00,Women's Soccer Fund (legacy)
260,1,245,20,125.00,Business School Fund
261,1,246,13,1032.00,Women's Soccer Fund
262,1,247,13,500.00,Women's Soccer Fund
263,1,248,13,100.00,WOMEN'S SOCCER FD.
264,1,249,13,25.00,Women's Soccer Fund (legacy)
265,1,250,12,75.00,Athletics Excellence Fund
266,1,251,13,50.00,WOMEN'S SOCCER FD.
267,1,252,13,250.00,Women's Soccer Fund
268,1,253,12,100.00,Athletics Excellence Fund
269,1,254,12,750.00,Athletics Excellence Fund
270,1,254,19,250.00,Campus Renewal Fund
271,1,255,5,50.00,Student Emergency Fund
272,1,256,12,1000.00,ATHLETICS EXCELLENCE FD.
273,1,257,12,15.00,Athletics Excellence Fund
274,1,258,11,250.00,Arts and Performance Fund
275,1,259,12,250.00,Athletics Excellence Fund
276,1,260,13,50.00,Women's Soccer Fund
277,1,261,13,500.00,Women's Soccer Fund
278,1,262,13,100.00,WOMEN'S SOCCER FD.
279,1,263,17,100.00,Parent and Family Fund
280,1,264,17,1032.00,Parent and Family Fund
281,1,265,17,50.00,PARENT AND FAMILY FD.
282,1,266,17,100.00,Parent and Family Fund
283,1,267,6,100.00,Library and Learning Commons
284,1,268,17,1000.00,Parent and Family Fund
285,1,269,17,2500.00,Parent and Family Fund
286,1,270,17,2500.00,PARENT AND FAMILY FD.
287,1,271,17,250.00,Parent and Family Fund
288,1,272,17,250.00,Parent and Family Fund
289,1,273,17,25.00,Parent and Family Fund
290,1,274,17,500.00,Parent and Family Fund
291,1,275,17,50.00,Parent and Family Fund
292,1,276,2,25.80,Annual Fund
293,1,276,5,25.80,Student Emergency Fund
294,1,277,1,25.00,Wherever Needed Most
295,1,278,17,25.00,Parent and Family Fund
296,1,279,17,1000.00,Parent and Family Fund
297,1,280,17,50.00,PARENT AND FAMILY FD.
298,1,281,17,100.00,PARENT AND FAMILY FD.
299,1,282,17,50.00,Parent and Family Fund
300,1,283,17,5000.00,PARENT AND FAMILY FD.
301,1,284,17,50.00,Parent and Family Fund
302,1,285,17,50.00,Parent and Family Fund
303,1,286,13,100.00,Women's Soccer Fund
304,1,287,9,100.00,Humanities Fund
305,1,288,3,75.00,General Scholarship Fund
306,1,289,17,75.00,Parent and Family Fund
307,1,289,14,25.00,Men's Basketball Fund
308,1,290,8,100.00,Computer Science Fund
309,1,291,7,500.00,Engineering Innovation Fund
310,1,292,7,75.00,ENGINEERING INNOVATION FD.
311,1,293,7,250.00,Engineering Innovation Fund
312,1,294,8,500.00,COMPUTER SCIENCE FD.
313,1,295,8,25.00,Computer Science Fund
314,1,296,8,1000.00,Computer Science Fund
315,1,297,7,25.00,ENGINEERING INNOVATION FD.
316,1,298,8,15.00,Computer Science Fund (legacy)
317,1,299,7,5000.00,ENGINEERING INNOVATION FD.
318,1,300,7,250.00,Engineering Innovation Fund (legacy)
319,1,301,8,500.00,Computer Science Fund
320,1,302,7,100.00,ENGINEERING INNOVATION FD.
321,1,303,7,100.00,ENGINEERING INNOVATION FD.
322,1,304,1,250.00,Wherever Needed Most
323,1,305,2,250.00,Annual Fund
324,1,306,12,50.00,Athletics Excellence Fund
325,1,308,1,75.00,Wherever Needed Most (legacy)
326,1,309,4,25.00,First-Generation Student Fund
327,1,310,1,100.00,Wherever Needed Most
328,1,311,2,250.00,Annual Fund (legacy)
329,1,312,9,75.00,HUMANITIES FD.
330,1,313,4,100.00,First-Generation Student Fund
331,1,314,1,15.00,Wherever Needed Most
332,1,315,4,75.00,First-Generation Student Fund
333,1,316,20,75.00,Business School Fund
334,1,317,1,100.00,WHEREVER NEEDED MOST
335,1,318,1,100.00,WHEREVER NEEDED MOST
336,1,319,2,25.00,ANNUAL FD.
337,1,320,3,100.00,General Scholarship Fund
338,1,321,11,250.00,Arts and Performance Fund
339,1,322,6,250.00,Library and Learning Commons
340,1,323,9,100.00,Humanities Fund
341,1,324,1,500.00,Wherever Needed Most
342,1,325,2,25.00,Annual Fund
343,1,326,12,100.00,Athletics Excellence Fund
344,1,327,12,25.00,Athletics Excellence Fund
345,1,328,17,15.00,PARENT AND FAMILY FD.
346,1,329,17,250.00,Parent and Family Fund
347,1,330,17,100.00,Parent and Family Fund
348,1,331,17,250.00,Parent and Family Fund
349,1,332,20,50.00,Business School Fund
350,1,333,17,25.00,Parent and Family Fund
351,1,334,17,500.00,Parent and Family Fund
352,1,335,17,100.00,Parent and Family Fund
353,1,336,17,103.20,Parent and Family Fund
354,1,337,2,1000.00,Annual Fund
355,1,338,2,15.00,Annual Fund
356,1,339,17,250.00,Parent and Family Fund
357,1,340,13,25.00,WOMEN'S SOCCER FD.
358,1,340,14,25.00,Men's Basketball Fund
359,1,341,6,100.00,Library and Learning Commons
360,1,342,1,25.00,Wherever Needed Most
361,1,343,12,100.00,Athletics Excellence Fund
362,1,344,13,500.00,Women's Soccer Fund
363,1,345,17,250.00,Parent and Family Fund
364,1,346,13,25.00,Women's Soccer Fund (legacy)
365,1,347,13,250.00,Women's Soccer Fund
366,1,348,17,25.00,Parent and Family Fund
367,1,349,4,56.25,First-Generation Student Fund
368,1,349,20,18.75,Business School Fund
369,1,350,3,50.00,General Scholarship Fund
370,1,351,1,25.00,WHEREVER NEEDED MOST
371,1,352,17,25.00,PARENT AND FAMILY FD.
372,1,353,17,25.00,Parent and Family Fund
373,1,354,2,500.00,Annual Fund
374,1,355,1,1000.00,Wherever Needed Most
375,1,356,1,15.00,Wherever Needed Most
376,1,357,2,5000.00,Annual Fund
377,1,358,11,25.00,Arts and Performance Fund
378,1,359,3,100.00,General Scholarship Fund (legacy)
379,1,360,12,75.00,Athletics Excellence Fund
380,1,361,2,2500.00,Annual Fund
381,1,362,4,15.48,First-Generation Student Fund
382,1,363,7,25.00,ENGINEERING INNOVATION FD.
383,1,364,13,125.00,Women's Soccer Fund
384,1,364,2,125.00,Annual Fund
385,1,365,12,75.00,Athletics Excellence Fund
386,1,366,8,50.00,Computer Science Fund
387,1,367,7,50.00,ENGINEERING INNOVATION FD.
388,1,368,8,250.00,Computer Science Fund
389,1,369,8,100.00,Computer Science Fund
390,1,370,4,100.00,First-Generation Student Fund
391,1,371,3,100.00,General Scholarship Fund
392,1,372,13,100.00,Women's Soccer Fund
393,1,373,1,15.00,Wherever Needed Most
394,1,374,1,75.00,Wherever Needed Most
395,1,375,13,50.00,Women's Soccer Fund
396,1,376,1,25.00,Wherever Needed Most
397,1,377,3,50.00,General Scholarship Fund
398,1,378,6,300.00,Library and Learning Commons
399,1,378,2,200.00,ANNUAL FD.
400,1,379,6,10000.00,Library and Learning Commons
401,1,380,1,100.00,Wherever Needed Most
402,1,381,3,37.50,General Scholarship Fund
403,1,381,2,12.50,Annual Fund
404,1,382,2,15.00,Annual Fund
405,1,383,1,30.00,Wherever Needed Most
406,1,383,11,20.00,Arts and Performance Fund (legacy)
407,1,384,7,250.00,Engineering Innovation Fund
408,1,385,15,15.00,Community Service Fund
409,1,386,15,100.00,Community Service Fund (legacy)
410,1,387,15,50.00,Community Service Fund
411,1,388,5,50.00,Student Emergency Fund
412,1,390,13,75.00,Women's Soccer Fund
413,1,391,12,1875.00,Athletics Excellence Fund
414,1,391,19,625.00,Campus Renewal Fund
415,1,393,13,50.00,Women's Soccer Fund (legacy)
416,1,394,13,25.00,Women's Soccer Fund
417,1,395,13,100.00,WOMEN'S SOCCER FD.
418,1,396,13,50.00,Women's Soccer Fund
419,1,397,12,100.00,Athletics Excellence Fund
420,1,398,12,2500.00,Athletics Excellence Fund
421,1,399,13,25.00,Women's Soccer Fund
422,1,400,13,50.00,Women's Soccer Fund
423,1,401,13,500.00,Women's Soccer Fund
424,1,402,12,100.00,Athletics Excellence Fund
425,1,403,18,50.00,Alumni Programs Fund
426,1,404,1,750.00,WHEREVER NEEDED MOST
427,1,404,18,250.00,ALUMNI PROGRAMS FD.
428,1,405,7,187.50,Engineering Innovation Fund
429,1,405,19,62.50,Campus Renewal Fund
430,1,406,1,50.00,Wherever Needed Most
431,1,407,1,250.00,WHEREVER NEEDED MOST
432,1,408,1,2500.00,Wherever Needed Most
433,1,409,1,25.00,Wherever Needed Most
434,1,410,1,100.00,Wherever Needed Most
435,1,411,1,100.00,Wherever Needed Most
436,1,412,9,250.00,Humanities Fund
437,1,413,15,250.00,Community Service Fund (legacy)
438,1,414,15,50.00,Community Service Fund
439,1,415,15,25.00,Community Service Fund
440,1,416,5,250.00,Student Emergency Fund
441,1,417,5,25.00,Student Emergency Fund
442,1,418,15,75.00,Community Service Fund
443,1,419,15,500.00,Community Service Fund
444,1,420,15,25.00,COMMUNITY SERVICE FD.
445,1,421,5,250.00,Student Emergency Fund
446,1,422,3,50.00,General Scholarship Fund
447,1,423,4,250.00,FIRST-GENERATION STUDENT FD.
448,1,424,1,50.00,Wherever Needed Most
449,1,425,1,25.00,Wherever Needed Most
450,1,426,4,1000.00,First-Generation Student Fund (legacy)
451,1,427,1,50.00,Wherever Needed Most
452,1,428,2,100.00,Annual Fund
453,1,429,1,50.00,Wherever Needed Most
454,1,430,6,25.00,Library and Learning Commons
455,1,431,4,100.00,First-Generation Student Fund
456,1,432,7,50.00,Engineering Innovation Fund (legacy)
457,1,433,8,25.00,Computer Science Fund
458,1,435,8,100.00,Computer Science Fund (legacy)
459,1,436,8,50.00,Computer Science Fund
460,1,437,8,1000.00,Computer Science Fund
461,1,438,7,25.00,Engineering Innovation Fund
462,1,439,8,500.00,Computer Science Fund
463,1,440,17,50.00,Parent and Family Fund (legacy)
464,1,441,17,100.00,Parent and Family Fund
465,1,442,13,250.00,Women's Soccer Fund
466,1,443,12,500.00,ATHLETICS EXCELLENCE FD.
467,1,444,12,500.00,Athletics Excellence Fund
468,1,445,12,250.00,Athletics Excellence Fund
469,1,446,13,250.00,Women's Soccer Fund (legacy)
470,1,447,13,1000.00,WOMEN'S SOCCER FD.
471,1,448,12,30.00,Athletics Excellence Fund
472,1,448,10,20.00,Faculty Research Fund
473,1,449,12,2500.00,ATHLETICS EXCELLENCE FD.
474,1,450,12,100.00,Athletics Excellence Fund
475,1,451,12,500.00,Athletics Excellence Fund
476,1,452,15,1032.00,Community Service Fund
477,1,453,18,500.00,Alumni Programs Fund
478,1,454,17,250.00,Parent and Family Fund
479,1,455,17,15.00,Parent and Family Fund
480,1,456,17,25.00,Parent and Family Fund
481,1,457,17,500.00,Parent and Family Fund
482,1,458,22,50.00,Class of 2001 Scholarship
483,1,459,1,500.00,Wherever Needed Most
484,1,460,20,500.00,Business School Fund (legacy)
485,1,461,11,50.00,Arts and Performance Fund
486,1,462,17,250.00,Parent and Family Fund
487,1,463,1,75.00,Wherever Needed Most
488,1,464,1,50.00,Wherever Needed Most
489,1,465,1,15.00,Wherever Needed Most
490,1,466,2,125.00,Annual Fund
491,1,466,1,125.00,Wherever Needed Most
492,1,467,1,75.00,Wherever Needed Most (legacy)
493,1,468,1,100.00,Wherever Needed Most
494,1,469,1,250.00,Wherever Needed Most
495,1,470,3,50.00,GENERAL SCHOLARSHIP FD.
496,1,471,3,500.00,General Scholarship Fund
497,1,472,3,250.00,General Scholarship Fund (legacy)
498,1,473,1,50.00,Wherever Needed Most
499,1,474,1,100.00,Wherever Needed Most
500,1,475,20,75.00,Business School Fund
501,1,476,2,10000.00,ANNUAL FD.
502,1,477,17,2500.00,Parent and Family Fund (legacy)
503,1,478,17,1000.00,Parent and Family Fund
504,1,479,17,100.00,Parent and Family Fund
505,1,480,17,75.00,Parent and Family Fund
506,1,481,1,25.00,Wherever Needed Most
507,1,482,2,77.40,Annual Fund
508,1,482,20,25.80,Business School Fund
509,1,483,1,50.00,Wherever Needed Most
510,1,484,4,100.00,First-Generation Student Fund
511,1,485,18,100.00,Alumni Programs Fund
512,1,486,11,100.00,Arts and Performance Fund
513,1,487,1,103.20,Wherever Needed Most
514,1,488,1,15.00,Wherever Needed Most
515,1,489,2,75.00,Annual Fund
516,1,490,2,1000.00,Annual Fund
517,1,491,9,100.00,Humanities Fund
518,1,492,1,1000.00,Wherever Needed Most
519,1,493,6,25.00,Library and Learning Commons
520,1,494,20,100.00,Business School Fund
521,1,495,18,15.00,Alumni Programs Fund
522,1,496,1,50.00,Wherever Needed Most
523,1,497,2,500.00,ANNUAL FD.
524,1,498,1,15.00,Wherever Needed Most
525,1,499,3,25.00,General Scholarship Fund
526,1,500,5,500.00,Student Emergency Fund
527,1,501,15,250.00,Community Service Fund
528,1,502,5,25.00,Student Emergency Fund
529,1,503,15,500.00,Community Service Fund
530,1,504,4,103.20,First-Generation Student Fund
531,1,505,17,25.00,Parent and Family Fund
532,1,506,17,15.00,Parent and Family Fund
533,1,507,17,250.00,Parent and Family Fund
534,1,508,17,100.00,Parent and Family Fund
535,1,509,17,25.00,Parent and Family Fund
536,1,510,17,50.00,Parent and Family Fund
537,1,511,17,5000.00,Parent and Family Fund
538,1,513,17,100.00,PARENT AND FAMILY FD.
539,1,514,17,15.00,Parent and Family Fund
540,1,515,17,2500.00,Parent and Family Fund (legacy)
541,1,516,17,5000.00,Parent and Family Fund (legacy)
542,1,517,17,100.00,Parent and Family Fund
543,1,518,17,500.00,Parent and Family Fund
544,1,519,1,75.00,Wherever Needed Most
545,1,520,9,50.00,Humanities Fund
546,1,521,11,75.00,ARTS AND PERFORMANCE FD.
547,1,522,2,100.00,Annual Fund
548,1,523,2,50.00,Annual Fund
549,1,524,17,50.00,Parent and Family Fund
550,1,525,5,500.00,Student Emergency Fund
551,1,526,5,100.00,Student Emergency Fund
552,1,527,5,50.00,Student Emergency Fund (legacy)
553,1,528,15,100.00,Community Service Fund (legacy)
554,1,529,17,25.00,Parent and Family Fund
555,1,530,17,250.00,Parent and Family Fund
556,1,531,2,15.00,Annual Fund (legacy)
557,1,532,2,250.00,Annual Fund
558,1,533,2,51.60,Annual Fund
559,1,534,2,25.00,Annual Fund
560,1,535,17,2500.00,PARENT AND FAMILY FD.
561,1,536,17,15.00,Parent and Family Fund
562,1,537,17,100.00,Parent and Family Fund
563,1,538,17,50.00,Parent and Family Fund
564,1,539,17,25.00,Parent and Family Fund
565,1,540,17,500.00,Parent and Family Fund
566,1,541,17,50.00,Parent and Family Fund (legacy)
567,1,542,17,50.00,Parent and Family Fund
568,1,543,1,50.00,Wherever Needed Most
569,1,544,2,2500.00,Annual Fund
570,1,545,1,50.00,Wherever Needed Most (legacy)
571,1,546,17,15.00,Parent and Family Fund (legacy)
572,1,547,11,500.00,Arts and Performance Fund
573,1,548,13,75.00,Women's Soccer Fund
574,1,549,12,100.00,Athletics Excellence Fund
575,1,550,2,500.00,Annual Fund
576,1,551,18,25.00,Alumni Programs Fund
577,1,552,3,75.00,General Scholarship Fund
578,1,553,1,1000.00,Wherever Needed Most
579,1,554,11,50.00,Arts and Performance Fund
580,1,555,2,25.00,Annual Fund
581,1,556,1,1032.00,Wherever Needed Most
582,1,557,20,25.00,Business School Fund
583,1,558,3,25.00,General Scholarship Fund
584,1,559,4,50.00,First-Generation Student Fund
585,1,560,1,60.00,Wherever Needed Most
586,1,560,20,40.00,Business School Fund
587,1,561,15,500.00,Community Service Fund
588,1,562,15,50.00,Community Service Fund
589,1,563,15,75.00,COMMUNITY SERVICE FD.
590,1,564,5,100.00,Student Emergency Fund
591,1,565,12,100.00,Athletics Excellence Fund (legacy)
592,1,566,13,50.00,WOMEN'S SOCCER FD.
593,1,567,13,5000.00,Women's Soccer Fund
594,1,568,12,50.00,Athletics Excellence Fund
595,1,569,15,15.00,Community Service Fund
596,1,570,5,100.00,Student Emergency Fund
597,1,571,5,250.00,Student Emergency Fund
598,1,572,15,50.00,Community Service Fund
599,1,573,5,50.00,STUDENT EMERGENCY FD.
