id,school_id,constituent_id,affiliation_type,raw_affiliation_value,start_year,end_year,is_primary,record_source
63,1,5219,alumni,Alumni Record,1976,1980,true,crm_import
64,1,17185,alumni,Alumni Record,2005,2009,true,crm_import
65,1,382,alumni,Former Student,1996,2000,true,crm_import
66,1,10591,alumni,Alumni Record,1981,1985,true,crm_import
67,1,10591,parent,Current Parent,2007,2011,false,crm_import
68,1,12225,alumni,Alumni Record,2009,2013,true,online
69,1,10576,alumni,Graduate,1995,1999,true,online
70,1,14894,alumni,Former Student,2013,2017,true,advancement_entry
71,1,1640,alumni,Alumnus/Alumna,2004,2008,true,crm_import
72,1,1640,parent,Parent - Undergraduate,2026,2026,false,crm_import
73,1,10504,alumni,Former Student,2003,2007,true,crm_import
74,1,13513,alumni,Alumni Record,2020,2024,true,crm_import
75,1,16994,alumni,Alumnus/Alumna,1991,1995,true,crm_import
76,1,16994,employee,Employee,2003,,false,crm_import
77,1,5867,alumni,Alumni Record,1993,1997,true,crm_import
78,1,13926,alumni,Graduate,2011,2015,true,crm_import
79,1,13926,employee,Current Faculty,2023,,false,crm_import
80,1,1688,alumni,Graduate,2009,2013,true,crm_import
81,1,1688,employee,Faculty/Staff,2021,,false,crm_import
82,1,12785,alumni,Alumni Record,2004,2008,true,online
83,1,13393,alumni,Former Student,2002,2006,true,online
84,1,18341,alumni,Former Student,2015,2019,true,advancement_entry
85,1,9895,alumni,Alumnus/Alumna,2018,2022,true,crm_import
86,1,469,alumni,Graduate,2019,2023,true,crm_import
87,1,14556,alumni,Alumni Record,2008,2012,true,crm_import
88,1,395,alumni,Alumnus/Alumna,1990,1994,true,crm_import
89,1,18217,alumni,Alumni Record,2007,2011,true,crm_import
90,1,18217,parent,Parent/Guardian,2026,2026,false,crm_import
91,1,19806,alumni,Former Student,1961,1965,true,crm_import
92,1,5752,alumni,Graduate,1990,1994,true,crm_import
93,1,2632,alumni,Alumnus/Alumna,2007,2011,true,online
94,1,7043,alumni,Former Student,1988,1992,true,online
95,1,6366,alumni,Alumnus/Alumna,1975,1979,true,advancement_entry
96,1,6366,parent,Parent/Guardian,2001,2005,false,advancement_entry
97,1,4753,alumni,Alumnus/Alumna,1975,1979,true,crm_import
98,1,4753,parent,Parent,2001,,false,crm_import
99,1,19459,alumni,Graduate,2006,2010,true,crm_import
100,1,19459,parent,Parent,2026,2026,false,crm_import
101,1,5649,alumni,Former Student,2010,2014,true,crm_import
102,1,8646,alumni,Alumni Record,1962,1966,true,crm_import
103,1,11960,alumni,Former Student,1975,1979,true,crm_import
104,1,11960,parent,Parent - Undergraduate,2001,,false,crm_import
105,1,13214,alumni,Graduate,2012,2016,true,crm_import
106,1,13214,employee,Current Faculty,2024,,false,crm_import
107,1,13214,trustee,University Board Member,2022,,false,crm_import
108,1,7415,alumni,Alumni Record,1992,1996,true,crm_import
109,1,1573,alumni,Graduate,1949,1953,true,online
110,1,16819,alumni,Former Student,2006,2010,true,online
111,1,15751,alumni,Graduate,1963,1967,true,advancement_entry
112,1,12173,alumni,Graduate,1996,2000,true,crm_import
113,1,12173,parent,Parent - Undergraduate,2022,2026,false,crm_import
114,1,2477,alumni,Former Student,2001,2005,true,crm_import
115,1,10444,alumni,Alumni Record,1983,1987,true,crm_import
116,1,17072,alumni,Former Student,1977,1981,true,crm_import
117,1,17072,parent,Parent/Guardian,2003,,false,crm_import
118,1,13508,alumni,Former Student,2003,2007,true,crm_import
119,1,12021,alumni,Alumnus/Alumna,1982,1986,true,crm_import
120,1,12021,parent,Parent,2008,2012,false,crm_import
121,1,1175,alumni,Former Student,2020,2024,true,crm_import
122,1,13232,alumni,Alumnus/Alumna,2001,2005,true,online
123,1,12342,alumni,Alumnus/Alumna,1986,1990,true,online
124,1,12175,alumni,Alumnus/Alumna,2022,2026,true,advancement_entry
125,1,12175,parent,Parent/Guardian,2026,2026,false,advancement_entry
126,1,15934,alumni,Alumni Record,1996,2000,true,crm_import
127,1,68,alumni,Alumnus/Alumna,1966,1970,true,crm_import
128,1,68,parent,Current Parent,1992,1996,false,crm_import
129,1,606,alumni,Alumnus/Alumna,2004,2008,true,crm_import
130,1,17008,alumni,Alumnus/Alumna,1960,1964,true,crm_import
131,1,8785,alumni,Alumnus/Alumna,1995,1999,true,crm_import
132,1,8785,parent,Parent,2021,,false,crm_import
133,1,18126,alumni,Graduate,1974,1978,true,crm_import
134,1,11376,alumni,Alumni Record,1958,1962,true,crm_import
135,1,8048,alumni,Graduate,1988,1992,true,online
136,1,8048,parent,Parent,2014,,false,online
137,1,19059,alumni,Alumnus/Alumna,2002,2006,true,online
138,1,19059,parent,Current Parent,2026,,false,online
139,1,8135,alumni,Alumnus/Alumna,2011,2015,true,advancement_entry
140,1,8135,parent,Current Parent,2026,2026,false,advancement_entry
141,1,17597,alumni,Alumni Record,2018,2022,true,crm_import
142,1,13559,alumni,Graduate,1951,1955,true,crm_import
143,1,14145,alumni,Graduate,1999,2003,true,crm_import
144,1,9716,alumni,Alumnus/Alumna,1994,1998,true,crm_import
145,1,9716,parent,Parent/Guardian,2020,,false,crm_import
146,1,19171,alumni,Former Student,1991,1995,true,crm_import
147,1,17645,alumni,Alumni Record,1994,1998,true,crm_import
148,1,17809,alumni,Alumnus/Alumna,2011,2015,true,crm_import
149,1,19795,alumni,Graduate,2007,2011,true,online
150,1,8216,alumni,Alumni Record,1995,1999,true,online
151,1,9442,alumni,Alumnus/Alumna,2020,2024,true,advancement_entry
152,1,14658,alumni,Graduate,1996,2000,true,crm_import
153,1,6806,alumni,Graduate,1997,2001,true,crm_import
154,1,17957,alumni,Alumnus/Alumna,2012,2016,true,crm_import
155,1,17957,parent,Parent/Guardian,2026,,false,crm_import
156,1,12550,alumni,Alumnus/Alumna,1977,1981,true,crm_import
157,1,2886,alumni,Alumni Record,2004,2008,true,crm_import
158,1,2886,parent,Parent/Guardian,2026,2026,false,crm_import
159,1,15477,alumni,Former Student,1979,1983,true,crm_import
160,1,17026,alumni,Graduate,2015,2019,true,crm_import
161,1,7425,alumni,Graduate,1948,1952,true,online
162,1,7425,employee,Faculty/Staff,1960,,false,online
163,1,10124,alumni,Alumni Record,1970,1974,true,online
164,1,10124,parent,Current Parent,1996,,false,online
165,1,10124,employee,Faculty/Staff,1982,,false,online
166,1,10895,alumni,Graduate,1947,1951,true,advancement_entry
167,1,7166,alumni,Graduate,1990,1994,true,crm_import
168,1,5461,alumni,Alumni Record,2007,2011,true,crm_import
169,1,16609,alumni,Former Student,2004,2008,true,crm_import
170,1,16609,parent,Parent,2026,2026,false,crm_import
171,1,2196,alumni,Graduate,1992,1996,true,crm_import
172,1,6861,alumni,Graduate,1996,2000,true,crm_import
173,1,11246,alumni,Former Student,1977,1981,true,crm_import
174,1,13961,alumni,Alumnus/Alumna,2012,2016,true,crm_import
175,1,13557,alumni,Graduate,1968,1972,true,online
176,1,983,alumni,Former Student,2011,2015,true,online
177,1,1760,alumni,Alumni Record,1988,1992,true,advancement_entry
178,1,3466,alumni,Alumni Record,2022,2026,true,crm_import
179,1,18203,alumni,Graduate,2022,2026,true,crm_import
180,1,18846,alumni,Former Student,2011,2015,true,crm_import
181,1,4482,alumni,Alumnus/Alumna,2014,2018,true,crm_import
182,1,4482,parent,Parent,2026,,false,crm_import
183,1,3622,alumni,Former Student,2010,2014,true,crm_import
184,1,6011,alumni,Alumnus/Alumna,2005,2009,true,crm_import
185,1,6011,parent,Parent - Undergraduate,2026,,false,crm_import
186,1,6241,alumni,Alumni Record,1997,2001,true,crm_import
187,1,720,alumni,Alumni Record,1968,1972,true,online
188,1,15158,alumni,Alumnus/Alumna,1987,1991,true,online
189,1,14007,alumni,Graduate,2013,2017,true,advancement_entry
190,1,2152,alumni,Alumnus/Alumna,1969,1973,true,crm_import
191,1,7677,alumni,Alumnus/Alumna,1976,1980,true,crm_import
192,1,7677,parent,Parent,2002,,false,crm_import
193,1,7677,employee,Current Faculty,1988,,false,crm_import
194,1,15431,alumni,Alumnus/Alumna,1990,1994,true,crm_import
195,1,8163,alumni,Alumni Record,1977,1981,true,crm_import
196,1,14372,alumni,Graduate,1996,2000,true,crm_import
197,1,4933,alumni,Alumni Record,2014,2018,true,crm_import
198,1,4292,alumni,Alumni Record,1996,2000,true,crm_import
199,1,9758,alumni,Alumnus/Alumna,2015,2019,true,online
200,1,5576,alumni,Alumni Record,2006,2010,true,online
201,1,16204,alumni,Former Student,2012,2016,true,advancement_entry
202,1,6034,alumni,Alumnus/Alumna,2006,2010,true,crm_import
203,1,13071,alumni,Graduate,2002,2006,true,crm_import
204,1,19940,alumni,Alumnus/Alumna,1988,1992,true,crm_import
205,1,3927,alumni,Graduate,2018,2022,true,crm_import
206,1,5355,alumni,Former Student,1970,1974,true,crm_import
207,1,5355,employee,Current Faculty,1982,,false,crm_import
208,1,15629,alumni,Graduate,1976,1980,true,crm_import
209,1,3220,alumni,Graduate,1999,2003,true,crm_import
210,1,3967,alumni,Graduate,1989,1993,true,online
211,1,3586,alumni,Former Student,2008,2012,true,online
212,1,3586,parent,Current Parent,2026,2026,false,online
213,1,5452,alumni,Alumnus/Alumna,2013,2017,true,advancement_entry
214,1,6829,alumni,Alumnus/Alumna,1970,1974,true,crm_import
215,1,19620,alumni,Graduate,1985,1989,true,crm_import
216,1,18451,alumni,Alumnus/Alumna,1965,1969,true,crm_import
217,1,4925,alumni,Former Student,2020,2024,true,crm_import
218,1,2746,alumni,Graduate,1958,1962,true,crm_import
219,1,2746,parent,Parent/Guardian,1984,,false,crm_import
220,1,19216,alumni,Former Student,2002,2006,true,crm_import
221,1,16221,alumni,Alumni Record,2003,2007,true,crm_import
222,1,16221,parent,Parent/Guardian,2026,2026,false,crm_import
223,1,6076,alumni,Graduate,2007,2011,true,online
224,1,12294,alumni,Alumnus/Alumna,1965,1969,true,online
225,1,17729,alumni,Alumni Record,1987,1991,true,advancement_entry
226,1,3005,alumni,Former Student,2008,2012,true,crm_import
227,1,3005,parent,Parent - Undergraduate,2026,2026,false,crm_import
228,1,6179,alumni,Alumnus/Alumna,1988,1992,true,crm_import
229,1,6179,parent,Current Parent,2014,,false,crm_import
230,1,5870,alumni,Alumni Record,1963,1967,true,crm_import
231,1,10408,alumni,Graduate,1982,1986,true,crm_import
232,1,10408,employee,Faculty/Staff,1994,,false,crm_import
233,1,9625,alumni,Alumni Record,2008,2012,true,crm_import
234,1,16257,alumni,Alumnus/Alumna,2006,2010,true,crm_import
235,1,15193,alumni,Graduate,1977,1981,true,crm_import
236,1,6525,alumni,Alumnus/Alumna,2001,2005,true,online
237,1,19682,alumni,Former Student,2012,2016,true,online
238,1,12490,alumni,Alumnus/Alumna,2012,2016,true,advancement_entry
239,1,790,alumni,Former Student,1993,1997,true,crm_import
240,1,790,employee,Current Faculty,2005,,false,crm_import
241,1,9319,alumni,Former Student,1991,1995,true,crm_import
242,1,1079,alumni,Alumni Record,1986,1990,true,crm_import
243,1,1079,parent,Current Parent,2012,2016,false,crm_import
244,1,9284,alumni,Alumnus/Alumna,2007,2011,true,crm_import
245,1,8191,alumni,Former Student,2010,2014,true,crm_import
246,1,15879,alumni,Former Student,1979,1983,true,crm_import
247,1,13326,alumni,Former Student,2011,2015,true,crm_import
248,1,11249,alumni,Graduate,2013,2017,true,online
249,1,15689,alumni,Alumnus/Alumna,1984,1988,true,online
250,1,15689,parent,Parent,2010,2014,false,online
251,1,9888,alumni,Former Student,1967,1971,true,advancement_entry
252,1,10379,alumni,Alumni Record,2003,2007,true,crm_import
253,1,14512,alumni,Former Student,1946,1950,true,crm_import
254,1,11248,alumni,Graduate,1956,1960,true,crm_import
255,1,7225,friend,Friend of GCU,2021,,true,crm_import
256,1,5812,friend,Friend,2022,,true,crm_import
257,1,6046,friend,Friend,,,true,crm_import
258,1,5193,friend,Other Supporter,2024,,true,crm_import
259,1,11636,friend,Other Supporter,,,true,online
260,1,16800,alumni,Alumni Record,1995,1999,true,online
261,1,7419,alumni,Former Student,1992,1996,true,advancement_entry
262,1,9590,alumni,Graduate,2000,2004,true,crm_import
263,1,8732,alumni,Alumnus/Alumna,1977,1981,true,crm_import
264,1,2067,alumni,Graduate,2014,2018,true,crm_import
265,1,2067,employee,Faculty/Staff,2026,,false,crm_import
266,1,11407,alumni,Graduate,2015,2019,true,crm_import
267,1,11407,employee,Faculty/Staff,2026,,false,crm_import
268,1,19937,alumni,Alumni Record,1988,1992,true,crm_import
269,1,19937,parent,Parent - Undergraduate,2014,,false,crm_import
270,1,11904,alumni,Former Student,1957,1961,true,crm_import
271,1,7232,alumni,Graduate,2003,2007,true,crm_import
272,1,17312,alumni,Graduate,1979,1983,true,online
273,1,12883,alumni,Alumnus/Alumna,1983,1987,true,online
274,1,7391,alumni,Alumnus/Alumna,1984,1988,true,advancement_entry
275,1,10172,alumni,Alumni Record,1955,1959,true,crm_import
276,1,10172,parent,Parent - Undergraduate,1981,1985,false,crm_import
277,1,14202,alumni,Alumnus/Alumna,1972,1976,true,crm_import
278,1,9191,alumni,Former Student,2006,2010,true,crm_import
279,1,14474,alumni,Alumni Record,1972,1976,true,crm_import
280,1,14474,parent,Parent/Guardian,1998,,false,crm_import
281,1,6915,alumni,Alumnus/Alumna,2006,2010,true,crm_import
282,1,6915,parent,Parent - Undergraduate,2026,2026,false,crm_import
283,1,1713,alumni,Former Student,2006,2010,true,crm_import
284,1,16146,alumni,Graduate,2021,2025,true,crm_import
285,1,16610,alumni,Graduate,1990,1994,true,online
286,1,16610,parent,Parent,2016,,false,online
287,1,17160,alumni,Former Student,2000,2004,true,online
288,1,17160,employee,Current Faculty,2012,,false,online
289,1,3737,alumni,Alumni Record,1989,1993,true,advancement_entry
290,1,5263,alumni,Alumni Record,1983,1987,true,crm_import
291,1,14146,alumni,Graduate,2012,2016,true,crm_import
292,1,8491,alumni,Former Student,1995,1999,true,crm_import
293,1,11229,alumni,Graduate,1996,2000,true,crm_import
294,1,7308,alumni,Graduate,2014,2018,true,crm_import
295,1,7308,parent,Parent/Guardian,2026,,false,crm_import
296,1,7279,alumni,Graduate,2014,2018,true,crm_import
297,1,7279,parent,Parent - Undergraduate,2026,,false,crm_import
298,1,7279,employee,Employee,2026,,false,crm_import
299,1,18280,alumni,Former Student,1949,1953,true,crm_import
300,1,12832,alumni,Former Student,1964,1968,true,online
301,1,12832,employee,Current Faculty,1976,,false,online
302,1,15548,alumni,Alumnus/Alumna,1995,1999,true,online
303,1,9754,alumni,Alumni Record,1998,2002,true,advancement_entry
304,1,12800,alumni,Graduate,1995,1999,true,crm_import
305,1,4506,alumni,Former Student,1975,1979,true,crm_import
306,1,4511,alumni,Former Student,1997,2001,true,crm_import
307,1,11660,alumni,Former Student,2014,2018,true,crm_import
308,1,11660,parent,Parent/Guardian,2026,2026,false,crm_import
309,1,8241,alumni,Former Student,1974,1978,true,crm_import
310,1,8241,parent,Current Parent,2000,2004,false,crm_import
311,1,14012,alumni,Alumni Record,1957,1961,true,crm_import
312,1,8709,alumni,Former Student,1972,1976,true,crm_import
313,1,12060,alumni,Graduate,1997,2001,true,online
314,1,1533,alumni,Graduate,2005,2009,true,online
315,1,15623,alumni,Alumni Record,2004,2008,true,advancement_entry
316,1,4118,alumni,Alumnus/Alumna,2022,2026,true,crm_import
317,1,4787,alumni,Alumni Record,2006,2010,true,crm_import
318,1,3362,alumni,Former Student,1998,2002,true,crm_import
319,1,16119,alumni,Alumni Record,1962,1966,true,crm_import
320,1,7739,alumni,Alumnus/Alumna,1985,1989,true,crm_import
321,1,4059,alumni,Former Student,2013,2017,true,crm_import
322,1,7368,alumni,Graduate,1999,2003,true,crm_import
323,1,8736,alumni,Alumnus/Alumna,1984,1988,true,online
324,1,18834,alumni,Alumni Record,2007,2011,true,online
325,1,18834,parent,Parent - Undergraduate,2026,2026,false,online
326,1,1759,alumni,Former Student,1991,1995,true,advancement_entry
327,1,3078,alumni,Former Student,1999,2003,true,crm_import
328,1,9955,alumni,Alumnus/Alumna,1983,1987,true,crm_import
329,1,9955,parent,Parent - Undergraduate,2009,2013,false,crm_import
330,1,9540,alumni,Alumnus/Alumna,2010,2014,true,crm_import
331,1,9540,parent,Current Parent,2026,,false,crm_import
332,1,13553,alumni,Alumnus/Alumna,2007,2011,true,crm_import
333,1,10395,alumni,Alumni Record,1993,1997,true,crm_import
334,1,354,alumni,Former Student,1998,2002,true,crm_import
335,1,17600,alumni,Former Student,2021,2025,true,crm_import
336,1,17600,parent,Parent,2026,,false,crm_import
337,1,7985,alumni,Alumni Record,1994,1998,true,online
338,1,7985,parent,Parent - Undergraduate,2020,,false,online
339,1,16775,alumni,Former Student,2010,2014,true,online
340,1,15887,alumni,Former Student,2022,2026,true,advancement_entry
341,1,478,alumni,Graduate,2010,2014,true,crm_import
342,1,17304,alumni,Alumnus/Alumna,2015,2019,true,crm_import
343,1,6016,alumni,Alumnus/Alumna,1947,1951,true,crm_import
344,1,6016,parent,Parent,1973,1977,false,crm_import
345,1,8617,alumni,Former Student,2021,2025,true,crm_import
346,1,8617,employee,Current Faculty,2026,,false,crm_import
347,1,17181,alumni,Alumni Record,2001,2005,true,crm_import
348,1,17181,employee,Current Faculty,2013,,false,crm_import
349,1,4813,alumni,Former Student,1991,1995,true,crm_import
350,1,14248,alumni,Graduate,1992,1996,true,crm_import
351,1,239,alumni,Alumnus/Alumna,2011,2015,true,online
352,1,239,parent,Parent/Guardian,2026,,false,online
353,1,10752,alumni,Alumni Record,2015,2019,true,online
354,1,4711,alumni,Graduate,2017,2021,true,advancement_entry
355,1,4711,employee,Faculty/Staff,2026,,false,advancement_entry
356,1,2664,alumni,Alumni Record,2008,2012,true,crm_import
357,1,575,alumni,Alumni Record,2007,2011,true,crm_import
358,1,13901,alumni,Graduate,1995,1999,true,crm_import
359,1,13901,employee,Current Faculty,2007,,false,crm_import
360,1,12169,alumni,Alumni Record,1970,1974,true,crm_import
361,1,11477,alumni,Alumnus/Alumna,1968,1972,true,crm_import
362,1,11909,alumni,Former Student,2003,2007,true,crm_import
363,1,18443,alumni,Graduate,1958,1962,true,crm_import
364,1,18443,parent,Current Parent,1984,,false,crm_import
365,1,8776,alumni,Former Student,1972,1976,true,online
366,1,15833,alumni,Alumni Record,1964,1968,true,online
367,1,15833,employee,Faculty/Staff,1976,,false,online
368,1,822,alumni,Alumnus/Alumna,2018,2022,true,advancement_entry
369,1,10125,alumni,Graduate,1959,1963,true,crm_import
370,1,17865,alumni,Alumni Record,2014,2018,true,crm_import
371,1,2631,alumni,Alumni Record,2011,2015,true,crm_import
372,1,7058,alumni,Former Student,1992,1996,true,crm_import
373,1,5098,alumni,Alumni Record,1967,1971,true,crm_import
374,1,12296,alumni,Graduate,2008,2012,true,crm_import
375,1,2925,alumni,Alumni Record,1995,1999,true,crm_import
376,1,2207,alumni,Former Student,1983,1987,true,online
377,1,12739,alumni,Graduate,1989,1993,true,online
378,1,12739,parent,Current Parent,2015,2019,false,online
379,1,16586,alumni,Alumnus/Alumna,1996,2000,true,advancement_entry
380,1,2742,alumni,Alumnus/Alumna,1986,1990,true,crm_import
381,1,19671,alumni,Graduate,2008,2012,true,crm_import
382,1,3909,alumni,Former Student,1989,1993,true,crm_import
383,1,5477,alumni,Former Student,1972,1976,true,crm_import
384,1,6150,alumni,Alumnus/Alumna,1999,2003,true,crm_import
385,1,2654,alumni,Graduate,1994,1998,true,crm_import
386,1,2654,parent,Current Parent,2020,,false,crm_import
387,1,1054,alumni,Alumnus/Alumna,1972,1976,true,crm_import
388,1,11209,alumni,Former Student,1986,1990,true,online
389,1,14842,alumni,Former Student,1982,1986,true,online
390,1,14464,alumni,Alumnus/Alumna,1969,1973,true,advancement_entry
391,1,12000,alumni,Alumnus/Alumna,1970,1974,true,crm_import
392,1,12000,parent,Parent,1996,,false,crm_import
393,1,19528,alumni,Alumnus/Alumna,1989,1993,true,crm_import
394,1,15637,alumni,Graduate,1957,1961,true,crm_import
395,1,9914,alumni,Graduate,2009,2013,true,crm_import
396,1,3890,alumni,Alumnus/Alumna,2018,2022,true,crm_import
397,1,3890,parent,Current Parent,2026,,false,crm_import
398,1,3085,alumni,Graduate,1975,1979,true,crm_import
399,1,7553,alumni,Graduate,1967,1971,true,crm_import
400,1,19179,alumni,Former Student,2022,2026,true,online
401,1,18072,alumni,Alumnus/Alumna,1950,1954,true,online
402,1,18072,employee,Current Faculty,1962,,false,online
403,1,166,alumni,Former Student,1955,1959,true,advancement_entry
404,1,14990,alumni,Graduate,1990,1994,true,crm_import
405,1,14990,parent,Current Parent,2016,2020,false,crm_import
406,1,772,alumni,Alumnus/Alumna,2006,2010,true,crm_import
407,1,772,parent,Parent/Guardian,2026,,false,crm_import
408,1,12947,alumni,Graduate,1969,1973,true,crm_import
409,1,12947,parent,Parent/Guardian,1995,,false,crm_import
410,1,3022,alumni,Alumnus/Alumna,1976,1980,true,crm_import
411,1,13693,alumni,Graduate,2011,2015,true,crm_import
412,1,13693,parent,Parent - Undergraduate,2026,,false,crm_import
413,1,1738,alumni,Alumnus/Alumna,1950,1954,true,crm_import
414,1,5544,alumni,Alumni Record,1995,1999,true,crm_import
415,1,13038,alumni,Alumni Record,1993,1997,true,online
416,1,13609,alumni,Alumnus/Alumna,1993,1997,true,online
417,1,650,alumni,Graduate,2004,2008,true,advancement_entry
418,1,650,parent,Parent - Undergraduate,2026,2026,false,advancement_entry
419,1,11581,alumni,Former Student,1999,2003,true,crm_import
420,1,183,alumni,Alumnus/Alumna,1971,1975,true,crm_import
421,1,183,parent,Parent/Guardian,1997,,false,crm_import
422,1,10205,alumni,Former Student,1989,1993,true,crm_import
423,1,18371,alumni,Former Student,1983,1987,true,crm_import
424,1,18371,parent,Parent - Undergraduate,2009,,false,crm_import
425,1,18213,alumni,Graduate,2003,2007,true,crm_import
426,1,8150,alumni,Graduate,1991,1995,true,crm_import
427,1,13147,alumni,Former Student,2009,2013,true,crm_import
428,1,223,alumni,Former Student,1971,1975,true,online
429,1,83,alumni,Former Student,2012,2016,true,online
430,1,83,employee,Employee,2024,,false,online
431,1,9444,alumni,Former Student,1948,1952,true,advancement_entry
432,1,10138,alumni,Former Student,2008,2012,true,crm_import
433,1,5555,alumni,Former Student,1956,1960,true,crm_import
434,1,3581,alumni,Former Student,2015,2019,true,crm_import
435,1,13906,alumni,Former Student,2021,2025,true,crm_import
436,1,13906,parent,Parent - Undergraduate,2026,,false,crm_import
437,1,4808,alumni,Former Student,2015,2019,true,crm_import
438,1,4808,parent,Current Parent,2026,,false,crm_import
439,1,5703,alumni,Alumni Record,1997,2001,true,crm_import
440,1,7826,alumni,Alumnus/Alumna,2015,2019,true,crm_import
441,1,12447,alumni,Former Student,2022,2026,true,online
442,1,1380,alumni,Alumnus/Alumna,2003,2007,true,online
443,1,16961,alumni,Alumnus/Alumna,2004,2008,true,advancement_entry
444,1,16961,parent,Current Parent,2026,2026,false,advancement_entry
445,1,19984,alumni,Former Student,1986,1990,true,crm_import
446,1,14058,alumni,Alumnus/Alumna,2002,2006,true,crm_import
447,1,9335,alumni,Graduate,1964,1968,true,crm_import
448,1,8050,alumni,Alumni Record,2000,2004,true,crm_import
449,1,19041,alumni,Graduate,2012,2016,true,crm_import
450,1,4046,alumni,Graduate,1970,1974,true,crm_import
451,1,15053,alumni,Graduate,2014,2018,true,crm_import
452,1,7005,alumni,Former Student,1958,1962,true,online
453,1,7005,parent,Current Parent,1984,1988,false,online
454,1,3272,alumni,Alumnus/Alumna,1956,1960,true,online
455,1,3272,parent,Parent - Undergraduate,1982,,false,online
456,1,6144,alumni,Former Student,1993,1997,true,advancement_entry
457,1,6144,employee,Faculty/Staff,2005,,false,advancement_entry
458,1,14808,alumni,Former Student,2019,2023,true,crm_import
459,1,14808,employee,Faculty/Staff,2026,,false,crm_import
460,1,17432,alumni,Alumni Record,1998,2002,true,crm_import
461,1,16576,alumni,Graduate,1977,1981,true,crm_import
462,1,2374,alumni,Former Student,1995,1999,true,crm_import
463,1,7502,alumni,Alumni Record,2004,2008,true,crm_import
